D,q_c,R_f,S1,S2,a_max,M_w,Class,CSR,q_c1N,I_c,S
5.1,3.9,0.4,87.6,96,0.19,7.1,1,0.11304,41.66895,2.18754,0.9125
7.3,5.5,2.1,129.4,137.8,0.16,7.1,0,0.09088,48.3499,1.84065,0.93904
7.3,6.1,1.9,129.4,137.8,0.16,7.1,0,0.09088,53.62443,1.80865,0.93904
10.8,6.2,2,161.6,204.3,0.16,7.1,0,0.1012,48.77205,1.84136,0.79099
7.3,5.7,0.7,115.7,137.8,0.5,7.1,1,0.31762,52.99174,1.97537,0.83962
2.8,0.9,4.9,34.1,52.3,0.38,7.1,0,0.32218,15.41222,2.28303,0.65201
3.3,2.3,1.7,53.4,61.8,0.38,7.1,1,0.24216,31.47438,2.04404,0.86408
3.5,1.5,1.9,49.8,64.8,0.43,7.6,1,0.36616,21.25576,2.19609,0.76852
13.5,16.3,0.8,134.8,249.8,0.43,7.6,0,0.43591,140.3921,1.58325,0.53963
5.6,2.3,2.1,86.5,112,0.43,7.6,1,0.35834,24.72975,2.12207,0.77232
3.5,1.4,2.7,53,69.7,0.19,7.6,0,0.16352,19.23048,2.21025,0.7604
6.5,1.1,2.6,68,125.3,0.19,7.6,1,0.22371,13.33946,2.36559,0.5427
14,1.2,2.6,151.1,271.6,0.19,7.6,0,0.18376,9.76223,2.49338,0.55633
3.8,1.9,2.4,45.4,72.4,0.19,7.6,1,0.19782,28.19848,2.05575,0.62707
5,1.1,3.7,62.7,97,0.19,7.6,0,0.19009,13.89181,2.33357,0.64639
2.4,1,5.2,37.5,45.4,0.19,7.6,0,0.15183,16.32993,2.25744,0.82599
8,1.7,3.4,86,153.6,0.19,7.6,0,0.21422,18.33157,2.21652,0.5599
7.5,1.7,4.9,82.7,142.5,0.19,7.6,0,0.20751,18.69374,2.19891,0.58035
10.4,2.4,4,116.9,198.7,0.19,7.6,0,0.19464,22.1975,2.12833,0.58832
5.1,2.4,2.7,61.6,96.9,0.19,7.6,0,0.19313,30.57883,2.01195,0.63571
5,2.2,1.1,57.5,92.5,0.19,7.6,1,0.19766,29.01274,2.13261,0.62162
4.9,1.1,2.3,62.6,99.8,0.19,7.6,1,0.19605,13.9029,2.35723,0.62725
11.8,8.1,0.5,115.3,218.3,0.19,7.6,1,0.20777,75.43456,1.91806,0.52817
2.5,1.6,1,36.3,46.3,0.19,7.6,1,0.15984,26.55625,2.18497,0.78402
14,13.7,0.2,134,259,0.19,7.6,0,0.1976,118.34997,2.02831,0.51737
4.5,1.8,1.2,53.3,83.3,0.19,7.6,1,0.1928,24.65522,2.18659,0.63986
10.2,1.8,3,116.5,196.9,0.19,7.6,0,0.1947,16.67668,2.26203,0.59167
11.6,1.9,2,112.6,220.4,0.19,7.6,1,0.21613,17.90542,2.25746,0.51089
3.2,1.2,1.9,43.8,62.4,0.19,7.6,1,0.17756,18.13194,2.26263,0.70192
12.2,1.6,2.7,132.3,234.2,0.19,7.6,0,0.19184,13.91041,2.34344,0.5649
8,2.3,4,102.5,158.4,0.19,7.6,0,0.18535,22.71778,2.11874,0.6471
8.5,1.2,3.1,88.5,158.1,0.19,7.6,0,0.21339,12.75586,2.37519,0.55977
